speaker,line
HOMER,"I was standing right here, when the horrible creature emerged from the woods."
GRANDPA,"God help me! I've been here for four days, and a turtle's got a hold of my teeth! There he is. Come back here, you! Shut up! I'll get you..."
SCULLY,This is the worst assignment we've ever had.
MULDER,Worse than the time we were attacked by the flesh-eating virus?
GRANDPA,"Ow, it bit me with my own teeth!"
SCULLY,"No, this is much more irritating. I've seen enough Mulder, let's go."
MULDER,"Yeah okay. But somewhere out there, something is watching us. There are alien forces acting in ways we can't perceive. Are we alone in the universe? Impossible. When you consider the wonders that exist all around us, Voodoo priests of Haiti, Tibetan Numerologists of Appalachia. The unsolved mysteries of...unsolved mysteries. The truth...is out there!"
MOE,Who would have thought a whale could be so heavy? Jeez it's the Feds!
HOMER,"Oh Marge, I've never felt so alone. No one believes me. Uh, this is the part where you're supposed to say, ""I believe you, Homer."""
MARGE,"I don't believe you, Homer."
HOMER,"You do! Oh Marge, you've made me so happy."
MARGE,"Homey, you're not listening. You're only hearing what you want to hear."
HOMER,"Thanks, I'd love an omelette right about now."
MARGE,"Homer, please! I try to be supportive, but this has gone to far. Please just let it be."
HOMER,"No, I can't. This is my cause. I'm like the guy who single-handedly built the rocket and went to the moon. What's his name? Apollo 3?"
MARGE,"Please, let's just go to sleep."
HOMER,"No, I refuse to share a bed with someone who thinks I'm crazy. Unless you're feeling... amorous. Rrrr!"
MARGE,No I'm not.
HOMER,"Well then, good night."
BART,"Hey dad. What's the word, you planning crackpot?"
HOMER,"Oh, I suppose you're going to mock me too."
BART,"Actually dad, I believe you."
HOMER,You do?
BART,"Yes, I do. You seem so damn sure."
HOMER,Thank you son. And do you think you can stop the casual swearing?
BART,Hell yes.
HOMER,"That's my boy. If you believe in me, then I'm not going to give up. I'll prove I'm right. This Friday we're going back to the woods and we're going to find that alien!"
BART,What if we don't?
HOMER,We'll fake it and sell it to the Fox network.
BART,They'll buy anything.
HOMER,"Now son, they do a lot of quality programming too. Haa haa haa! I kill me."
FROG1,Bud
FROG2,Weis
FROG3,Er
FROG1,Bud
FROG2,Weis
FROG3,Er
ALLIGATOR,Corrs
BART,"Yo, dad can I have a sip of your beer?"
HOMER,"No son, you don't want to drink beer. That's for daddies and kids with fake ID's. Besides, it's such a beautiful night, how about a ghost story."
BART,"...And that, is how much college will cost for Maggie."
HOMER,No! No! No!
BART,"You know dad, it doesn't matter that we didn't see the alien. I really had a great time out here."
HOMER,"Yeah, me too. It's him!"
ALIEN,I bring you peace.
HOMER,"As a representative of Planet Earth, let me be the first to say... Ahhh! Whooo! Yarrgh!!"
ALIEN,Ahhh!
HOMER,D'oh! It's gone. We still don't have any proof.
BART,Oh yes we do. I got it all on tape.
HOMER,Good work son! We did it! We did it!
NIMOY,"And so from this simple man came the truth, that we are not alone in the universe. I'm Leonard Nimoy, good night."
TEENAGER,"Uh Mr Nimoy, we have ten minutes left."
NIMOY,"Oh, fine. Let me just get something out of my car."
TEENAGER,I don't think he's coming back.
BROCKMAN,News. A man who's been in a coma for 23 years wakes up.
MAN,Do Sonny and Cher still have that stupid show?
BROCKMAN,"No, she won an Oscar, and he's a congressman."
MAN,Good night.
KENT,"But first, ET phone Homer. Simpson, that is."
HOMER,"Marge, kids, they're about to show our videotape!"
BROCKMAN,"Local man Homer Simpson, shown here with his tongue stuck to a lamp post, has given us this videotape. It's a close encounter, of the blurred kind. Ha ha ha."
ALIEN,I bring you peace.
BROCKMAN,"The alien has appeared in the same Springfield pasture the last two Friday nights. Will it appear again this Friday? The entire channel six news team will be there, except for Phil, the boom mike operator, who's getting fired tomorrow. Ow! Very unprofessional, Phil."
BART,"Well, Lise. What do you think about the alien now?"
LISA,I think there must be a more logical explanation. And I think the people of this town aren't going to be won over by three seconds of videotape.
HOMER,I'm happy to answer any questions you have about the alien. Any questions at all. Dr Hibbert?
DR HIBBERT,"Yes, is the alien carbon based or silicon based?"
HOMER,"Uh, the second one. Zillophone. Next question."
BARNEY,Is the alien Santa Claus?
HOMER,"Uh, yes."
FLANDERS,Were you on my roof last night stealing my weather vane?
HOMER,This interview is over!
REVEREND LOVEJOY,"I remember another gentle visitor from the heavens, he came in peace,and then died. Only to come back to life. His name was... FRIDAY"
BART,Leonard Nimoy! What are you doing here?
NIMOY,"Wherever there is a mystery or something unexplained, cosmic forces shall draw me near."
BOY,"Hey, Spock, what do you want in your hot dog?"
NIMOY,Surprise me.
HOMER,"Take a look at this Lisa. You don't see any ""Homer is a Dope"" T-shirts, do you?"
BOY,We sold those out in five minutes.
HOMER,"D'oh! Marge, how could you?"
MARGE,"These shirts are 100% cotton, and look at the fine stitching on ""Dope""."
HOMER,I'll take two.
KRUSTY,Ahhh!
HOMER,Look. There it is!
MARGE,"Oh, Homey. Honey I'm so sorry I doubted you."
ALIEN,I bring you love.
DR HIBBERT,"Is that the love between a man and a woman, or the love of a man for a fine Cuban cigar?"
ALIEN,"Ah, I bring you love."
LENNY,"It's bringing love, don't let it get away!"
WILLY,Break its legs!
LISA,Wait! You want an alien? This is your alien!
MR BURNS,"Hello, children. I bring you love."
WILLY,It's a monster! Kill it! Kill it!
SMITHERS,"It's not a monster, it's Mr Burns."
WILLY,"Oh, it's Mr Burns. Kill it!"
SMITHERS,"No, let me explain. Every Friday evening after work Mr Burns undergoes a series of medical treatments designed to cheat death for another week. First Mr Burns' chiropractors perform a slight spinal adjustment. Then a team of doctors administer his eye drops, pain killers, and a vocal cord straightening."
DR NICK,"Don't worry, you won't feel a thing. Till I jam this down your throat!"
SMITHERS,The whole ordeal leaves Mr Burns twisted and disoriented.
DR NICK,The most rewarding part was when he gave me my money.
BART,But what's with the glowing?
MR BURNS,"Um, I'll field that question. A lifetime of working in a nuclear power plant has given me a healthy green glow. And left me as impotent as a Nevada Boxing Commissioner. And now that I'm back to normal, I don't bring you peace and love, I bring you fear, famine, pestilence, and -"
DR NICK,Time for a booster!
MR BURNS,Good morning star shine. The Earth says hello...
NIMOY,"They twinkle above us, we twinkle below."
CHORUS,Good morning star shine....
MARGE,"Well, you said you'd bring us peace and love, and it looks like you did it. I'm proud of you Homey."
HOMER,Thanks Marge.
TEENAGER,"And so concludes our tale. I'm Leonard Nimoy. Goodnight, and keep watching the skis. Uh, skies. This production has not been approved, endorsed, or authorized by the Federal Bureau of Investigation."
