speaker,line
EINSTEIN,She's clearly in love with him.
MILLER,You spent all of five minutes with them. How do you know that?
EINSTEIN,Nothing else would explain it.
EINSTEIN,Maybe he values her open mind.
MILLER,Maybe she challenges his B.S. MILLER's cell phone starts ringing in his jacket pocket. He sighs. He gets it out and answers.
MILLER,Special Agent Miller speaking.
SCULLY,"Agent Miller, this is Agent Scully. He's a little shocked."
MILLER,"Um, hey. One second. He holds the phone to his chest and turns to face EINSTEIN."
MILLER,I'll meet you on the plane. MILLER walks away from EINSTEIN so that she is out of earshot. We see SCULLY sitting on a hotel bed in her work gear. MILLER continues the phone call.
MILLER,Hi.
SCULLY,You might wonder why I'm calling.
MILLER,"No. Uh, well, actually, yeah."
SCULLY,"I was thinking about your case, and I have an idea that might help you communicate with your terrorist."
MILLER,That is good news. What is it?
SCULLY,There's something I'd like to try. But I need to meet you in Texas.
MILLER,Okay. Yeah. That sounds great. EINSTEIN is watching MILLER intently. Suddenly her cell phone starts to ring.
EINSTEIN,Special Agent Einstein speaking.
MULDER,"Agent Einstein, it's Agent Mulder. You must wonder why I'm calling. We see MULDER sitting in the X-Files office, talking on the desk phone."
EINSTEIN,No. I'm completely baffled.
MULDER,I have an idea of how you might communicate with your terrorist.
EINSTEIN,"Uh, I think it's Special Agent Miller you're looking for."
MULDER,"No, no. I-I-I need to speak with you. I got your number from AD Walter Skinner, who sings your praises, by the way."
EINSTEIN,"Yes, I helped him with his migraines, which he claims are due to you. MULDER is speechless momentarily."
MULDER,"In-in-in any case, I was hoping I might impose upon you to delay your trip out to Texas."
EINSTEIN,You can't just tell me now?
MULDER,It requires some explanation.
EINSTEIN,"You do realize the clock is ticking on this case, quite literally."
MULDER,I think it could save lives.
EINSTEIN,"Say no more. I'm on my way. MILLER heads back over to EINSTEIN as she hangs up, but she starts walking away as soon as he gets to her."
MILLER,Where are you going?
EINSTEIN,"I'm catching the crazy train. I'll see you down in Texas, Miller. MILLER looks somewhat exasperated as she heads off. The overhead TV continues to air the heated discussion."
WOMAN,When did radical Muslims become a protected class in America?
MAN,When the Founding Fathers signed the Constitution-- that's when.
WOMAN,"The same document that's supposed to protect my freedom of speech. As we hear the interview continue, the camera swaps the large screen at the airport for a smaller TV showing the same interview in a dimly-lit room."
MAN,But not your freedom to hate! What is wrong with you?
WOMAN,It is not a freedom to hate!
MAN,Why do you think these guys are acting this way? Why do you think that guy went up and shot five servicemen in Chattanooga? Because they loved him? Because we treated him well? Because we don't plaster their names as terrorists all over the media? No! Because we hate them. The camera slowly pans across the darkened room. We hear the crackle and see the fumes of soldering. Bomb-making equipment is scattered across work surfaces. We see a Muslim male sitting at a desk carefully soldering circuits and components together. As the camera pans further we see several already-assembled bombs ready for use.
WOMAN,"We do not hate them. No, we do not hate them. And I will not allow for that. We are not going to continue to spread lies about a people..."
MULDER,"Ah, come in, Agent Einstein. Have a seat."
EINSTEIN,"I came here in good faith, Agent Mulder, but lives are at stake."
MULDER,I'm all about that.
EINSTEIN,"If there were another act of terror, and I'm in here listening to some woo-woo treatise on the paranormal, I don't think I could forgive myself."
MULDER,I-I-I-I-I d-d-don't do woo-woo.
EINSTEIN,"Okay, what's your big idea? How are we going to talk with this terrorist?"
MULDER,"Well, first, can we talk about the nature of reality, as you perceive it?"
EINSTEIN,My reality is new chatter on the Internet about more suicide bombs.
MULDER,"But do you believe that thoughts have mass? That ideas such as faith and forgiveness have weight much the same way this desk has weight? Or any material, really. She laughs wryly."
EINSTEIN,"You are too much, Agent Mulder."
MULDER,It's a legitimate question.
EINSTEIN,There's a legitimate answer: no.
MULDER,How can you be so sure?
EINSTEIN,"Because when I stand on the scale and think of ice cream, my ass doesn't grow. Need I illustrate further?"
MULDER,"Yes, but I'm sure you believe that words have weight - the weight to move people, to go kill other people."
EINSTEIN,"People kill people. Bombs kill people. Words can incite people to kill people as instruments of hate, but are not lethal in and of themselves."
MULDER,"Ever suck on a lemon, Agent Einstein? Do you feel a sensation right now? A quasi-measurable effect? She doesn't quite give him the answer he was hoping for."
MILLER,I am getting a taste of what Agent Scully must suffer.
MULDER,"Neo-Darwinists believe that every word spoken, every thought, every perception, lest I misperceive, is a step in the evolution of mankind."
EINSTEIN,"Yes. A butterfly beats its wings in China, but that butterfly won't be defusing explosives in any suicide vests."
MULDER,"Agent Einstein, you have a terrorist lying in a state of existence somewhere between life and death. If he holds valuable intel on other terrorists, maybe in order to reach him, you need to expand your mind on the so-called material world."
SCULLY,I got here as fast as I could.
MILLER,"Let me say, I'm blown away you came down here to help me at all."
SCULLY,"Well, I sensed your frustration."
MILLER,I just want to believe there's some way of reaching this young man and learning what he might know.
SCULLY,"Well, I believe there may be, but not the way you think."
MILLER,"What way is that, Agent Scully?"
SCULLY,"Well, not through an oracle or a psychic or a seer, but through science."
MILLER,I don't know how you mean.
SCULLY,"This may sound heavy, but this is a bit of a personal quest for me. My mother was in a coma recently, and I wasn't able to communicate with her, either."
MILLER,I take it she's passed?
SCULLY,I wish I'd had the presence of mind to think of this when she was still alive. It might've solved a mystery that I may never know.
EINSTEIN,"Please enlighten me, Agent Mulder, how nine years of college, three degrees, and two years at Quantico has left me such a simpleton."
MULDER,Not a simpleton. A mugwump.
EINSTEIN,"I resent that characterisation, and I don't even know what it means."
MULDER,It means sit down and shut up.
EINSTEIN,You talk to Agent Scully like that?
MULDER,Only when she's being a mugwump. MULDER gets up out of his chair and rounds his desk. He grabs a vistors chair and turns it to face the large monitor.
MULDER,Please... have a seat. EINSTEIN sits.
EINSTEIN,"I'll give you two minutes, Agent Mulder, and then I'm due back on Earth. MULDER stands beside the monitor, which is displaying an image of a pale, non-descript mushroom."
MULDER,Behold. Psilocybe tampenensis. EINSTEIN has her hands folded across her chest.
EINSTEIN,I'm afraid where this is going.
MULDER,"The so-called Magic Mushroom, the study of which has begun anew by respected medical practitioners from Columbia University to Oxford. EINSTEIN has an oh-god-not-this-again demeanour."
EINSTEIN,Highly contested studies.
MULDER,"Highly uncontested results. Test subjects report experiences that transcended space and time, confrontations with the dead, touching the very face of God."
EINSTEIN,"That's nice, Agent Mulder-- you've got about a minute and counting."
MULDER,"Test subjects have also reported that once the impediment of the physical body is removed, deep and lasting truths are revealed that the conscious mind won't allow - feelings of ineffability, sacredness, peace, unity, joy - all without altering brain chemistry."
EINSTEIN,"Are you proposing, Agent Mulder, that we administer the Magic Mushroom to the terrorist?"
MULDER,"No. No. I am proposing that you administer it to me, so that I can communicate with the terrorist, learn what he knows, and prevent future acts of terror."
EINSTEIN,To a technically dead man?
MULDER,Death is now viewed by some as merely another plane of existence. I don't think our terrorist has even achieved that plane. I believe he's still reachable on this plane.
EINSTEIN,"So you called me back here to ask me to administer this drug, this illicit Schedule 1 substance."
MULDER,As a medical professional.
EINSTEIN,Which Agent Scully is as well.
MULDER,"Agent Scully has recently had her own life-altering death experience, and I don't want to bother her with this."
EINSTEIN,"Ohhhh. Oh, so you want to just keep it between us?"
MULDER,"I-I would, if you don't mind."
EINSTEIN,"No. No, I wouldn't mind at all. Because there will be absolutely nothing to say, except maybe to Internal Affairs, if I were to go through with this lunatic scheme of yours. She makes for the door, but spins around as MULDER continues."
MULDER,"What is lunatic about it, exactly?"
EINSTEIN,"Oh, let me think about that. Everything? And rest assured, Agent Mulder, when I walk out of here, I will never again darken your basement door. She leaves. MULDER stares after her, almost transfixed. Seconds pass."
MULDER,So that's a maybe?
MILLER,"It's hard to imagine there's someone in there, when you really see him."
SCULLY,Research bears out a surprising incidence of electro-activity even in the most severely brain-damaged. What I want to try is a rather... novel but not untested protocol.
MILLER,I'm open to whatever.
SCULLY,"I'm certain that you are, Agent Miller."
MILLER,I believe so many answers lie beyond the pale of the known world in realms of extreme possibility.
SCULLY,I believe that you believe.
MILLER,So what are you proposing?
SCULLY,Doctors recently achieved the ability to communicate with a man known as Patient 23 through magnetic imaging - MRI - by prompting his otherwise inert and unresponsive brain with questions that triggered electro-activity.
MILLER,What kind of questions?
SCULLY,Mundane questions about... housekeeping and tennis. But they unexpectedly lit up certain regions of his brain that translated to yes-and-no responses.
MILLER,That is incredible.
SCULLY,"Well, more incredibly, it can be achieved rather simply through the use of an ordinary electro-encephalogram."
MILLER,Why didn't someone think of that?
SCULLY,"But, let me caution you. Even if we do reach this young man, it may be difficult to get the intel that you're hoping for. Suddenly, two male agents enter the ward accompanied by a nurse who tends to the bomber."
MALE AGENT 1,Who's Special Agent Miller?
MILLER,I'm Special Agent Miller.
MALE AGENT 2,Gonna ask you to leave. FBI has no more jurisdiction here.
SCULLY,Who has jurisdiction?
MALE AGENT 2,Department of Homeland Security.
MILLER,I was assigned this case. Agent Scully is a medical doctor. We think we can communicate...
MALE AGENT 1,"Communicate? To say what? ""You shouldn't have done it, son""?"
MILLER,There's a chance to question him about who was behind the bombing.
MALE AGENT 1,"And you think he's gonna tell you? By any moral definition, this body here isn't a human. By my definition, this terrorist is dead."
SCULLY,"I'm sorry, but what's your business here?"
MALE AGENT 2,"I suggest that you both take a little breather and call your superiors in Washington, if you have any questions."
SCULLY,We're not leaving this room. The two agents started speaking quietly in Arabic to each other. The nurse turns her head upon hearing them. SCULLY looks concerned.
MILLER,I'm gonna ask you to leave.
MALE AGENT 2,"I'll give the orders, Agent Miller."
MILLER,Wrong. I'm giving the orders now. They've come here for retribution.
MALE AGENT 2,"Whoever you're calling, this goes way beyond..."
MILLER,"I'm not calling anyone. Rather than make a call, MILLER holds his phone out and takes a series of photos of the two agents' faces, who turn away to try and prevent him. Later. EINSTEIN enters the hospital ward. We see the intensive care isolation ward holding the bomber is guarded. She gives her name to the two FBI agents at the door."
EINSTEIN,Special Agent Einstein.
FBI AGENT 1,"I'm sorry, but I can't let you in there without authorization."
MILLER,"I've been assigned this case with my partner, Special Agent Miller. As she shows them her FBI badge the sliding door to the isolation ward opens and the two agents that confronted MILLER and SCULLY make a hasty exit. As the door slides closed again, EINSTEIN grabs a glimpse of MILLER and SCULLY inside the room."
FBI AGENT 2,"Let me see that. If you're his partner, then who is Special Agent Dana Scully? EINSTEIN walks around the corridor and peers through a side door to the isolation ward. She gets another good look at who is working with her partner. She's pissed. She reaches into her jacket and gets out her phone. She dials and it rings audibly."
EINSTEIN,"Agent Mulder, it's Agent Einstein. How soon can you be in Texas?"
EINSTEIN,Agent Mulder.
MULDER,Agent Einstein.
MULDER,"For a second there, I thought you were gonna punk me."
EINSTEIN,"I had a little trouble, uh, procuring... the illicit substance. She reaches into her jacket pocket and retrieves two coated capsules."
MULDER,"Oh. He holds them up in the palm of his hand, impressed."
MULDER,Where'd you get these?
EINSTEIN,"Apparently, Texas is something of a promised land - as it turns out. One of the early research pioneers is from here."
MULDER,"So this is the real deal, huh?"
EINSTEIN,"I can't speak to the dosage, and I certainly wouldn't take both. Not till you've experienced the one."
MULDER,"May I ask, Agent Einstein, what changed your mind on this whole deal here?"
EINSTEIN,I got here to find that Agent Scully was here in Texas working with Agent Miller.
MULDER,I sense some professional animus.
EINSTEIN,Nothing professional about it.
MULDER,But you think this misguided.
EINSTEIN,"My loss is your gain, Agent Mulder."
EINSTEIN,"I'll deal with Agent Miller about this later. In the meantime, we must conduct this business with a certain delicacy, where the consumption of any potentially dangerous and psychotropic hallucinogen must be undertaken outside of a laboratory."
MULDER,You mean hide it like a couple of drug addicts.
EINSTEIN,"While this may seem foolhardy, I am anticipating results, that you will actually be communicating with the terrorist, somehow. Now, what he may say to you, or you to him, I have no clue. A middle-aged Texan in a Cowboy hat and shirt crosses the road in front them and MULDER exchanges eye contact and a nod of the head with him. He gets an idea."
MULDER,"How do you say ""Howdy, pardner"" in Arabic? He smiles at EINSTEIN."
SCULLY,Thank you.
BREM,You Agent Einstein?
SCULLY,"No, I'm Agent Dana Scully."
BREM,Agent Miller?
MILLER,Yes. Is there a problem?
BREM,"I'm Special Agent Brem, here to inform you that this hospital is under terror threat. I've got a cordon of agents near the building as a precaution against an attack, but I need to clear this wing until we can bring in the bomb squad."
MILLER,You know where the threat came from?
BREM,"Mm-mm. An anonymous caller, but... a very clear guess - there's a large and unassimilated Muslim community in the area, with one shared wish."
SCULLY,One shared wish that what?
BREM,"To wipe you and America off the map. To honour their hero, Osama bin Laden, whose picture we find all too frequently on their refrigerators."
SCULLY,"Not all Muslims are extremists, certainly."
BREM,"Feel free to stay here and take your chances, if you don't believe me."
MILLER,There are other people who want to see this young man dead.
BREM,"I'm not one of them, Agent Miller. Last thing I want is for this... killer to die and go to paradise or to his 72 virgins... SCULLY scoffs."
BREM,...in the sky.
SCULLY,Sounds like torture to me.
MILLER,"This boy can hear everything you're saying, and we're trying to win his trust and talk to him."
BREM,Keep the killer alive.
MILLER,"You do your job. We'll do ours. BREM pauses to look at MILLER and then SCULLY, before turning away to give the order."
BREM,"Time to evacuate. Everybody out! BREM leaves the ward. SCULLY follows shortly after. MILLER is torn about staying, but follows SCULLY out of the ward, leaving the nurse alone in the room with the bomber. As the ward clears, the nurse approaches the door and quietly slides it shut. She wallks back over to the bed and pauses, looking down at the comatose bomber. She reaches over to the ventilator and opens the cover protecting its power switch. She turns it off. Suddenly alarms start firing. The bomber's heartrate speeds up before flatlining. The alarms continue. The nurse watches the bomber's body jolt and shake. He watches her with one open eye. MULDER and EINSTEIN appear the ward and head for the bomber's isolation room. They slide open the door, prompting the nurse to surrepticiously turn the ventilator back on before they notice. His vitals start to recover."
NURSE,"There's, uh... there's been a bomb threat. They're asking us to leave."
EINSTEIN,"Uh, we have special authorization."
NURSE,That's what everyone says.
EINSTEIN,We'll just need the room for a few minutes... to do research.
NURSE,"Yeah, that's what everyone says. You know, I've never seen a patient receive so much attention... especially one who's so unworthy of it. MULDER watches the NURSE's expression carefully."
EINSTEIN,"Well, this is a special case."
NURSE,"Just like all those immigrant groups coming over here, taking all our jobs, clogging up the health care system and our schools, and they don't even speak English. MULDER pops one of the mushroom capsules without EINSTEIN or the NURSE noticing."
EINSTEIN,"We're not gonna fix that right now, so..."
NURSE,"A church group brought two hundred Arab refugees to our town, and now they're saying that they want to bring some more. MULDER pops the other mushroom capsule in his mouth."
EINSTEIN,"Maybe we need to come back... EINSTEIN looks at MULDER, who carefully extends his tongue to show her the capsule ready to be swallowed."
EINSTEIN,Or maybe... we can talk outside.
NURSE,"It's all part of a government program paid for by my tax dollars, which means that I come to work every day, and I pay for these people... EINSTEIN slides the door closed behind her. MULDER grabs a visitor chair and pulls it over to the bed. He loosens his tie and unbuttons his shirt. He sits down in the chair, puts his head back, closes his eyes and takes some deep breaths. Meanwhile, the NURSE is continuing to regale EINSTEIN with her Msulim conspiracy theories in the hallway outside. EINSTEIN plays for time by stringing her along."
NURSE,"So I did some research, and I found out that this is all part of a plot by the United Nations to get these people into the US, so that they can form terrorist cells."
EINSTEIN,That sounds very suspicious.
NURSE,"Yeah. You turn your back on these people, you're taking your chance."
EINSTEIN,"No. No, we don't want to turn our backs."
NURSE,One more thing - you say you're here doing research?
EINSTEIN,"Yes. We'll just be a few more minutes in the room, and then we'll be evacuating as well."
NURSE,"Yeah. Well, your partner already left. EINSTEIN, shocked, turns and looks into the isolation room that now just contains the comatose bomber. MULDER is enjoying himself elsewhere."
EINSTEIN,"Is this what you wanted, Agent Mulder? Your woo-woo paranormal? She whips his chest."
EINSTEIN,"Come on, say it."
MULDER,Woo woo.
EINSTEIN,Say it!
MULDER,Woo woo.
EINSTEIN,SAY IT! She whips his chest with real aggression. MULDER tries to sit up as he shouts out in pain.
MULDER,"WOO WOO! Cut to MULDER, as he sits up bare-chested on a wooden longboat. We hear chanting. He is facing the bow. Stormy skies overhead cast little light. MULDER's chest is adorned with EINSTEIN's fresh whip marks. Figures shrouded in black hooded cloaks sit in columns either side of him, facing astern and rowing methodically. A grey-haired, black-suited figure standing at the back of the boat cracks his long whip which lands squarely on MULDER's back. We see that it is CANCERMAN. Tom Waits' ""Misery is the River of the World"" is playing. The higher that the monkey can climb The more he shows his tail"
CANCERMAN,"You want the truth, Agent Mulder? You've come to the right place. CANCERMAN cracks his whip again. MULDER winces in pain as it strikes his back. Thunder crashes and lightning flashes around him. MULDER looks forward. We see a female figure dressed in a flowing white dress, maternally holding a motionless male body across her lap. Call no man happy till he dies There's no milk at the bottom of the pail Misery's the river of the world Misery's the river of the world MULDER slow rises from his seat and moves forwards towards them. We see that the motionless male figure is SHIRAZ, the battered and scarred comatose bomber, the back of his skull grossly deformed from the explosion and surgery. Everybody rows this Everybody row Misery's the river of the world Misery's the river of the world Misery's the river of the world Everybody row, everybody row Everybody row... As MULDER approaches, we see SHIRAZ whispering, but his words are indistinct. MULDER leans in with his ear towards SHIRAZ to better hear him. Making out nothing, he leans in even further. Everybody row Misery's the river of the world Everybody row Everybody row, everybody row... Fade to black."
TERRORIST,"Together you push the button. Bringing you eternal life. Bringing death to infides. And bringing glory to Allah. He presses the handheld trigger with his thumb. We hear it click. As the camera repositions behind him, we see eight terrorists, all wearing similar bomb belts and holding triggers, intently focussed on him. Their mission set, they chant in turn, pumping their clenched fists."
TERRORIST,Allahu akbar!
BELIEVERS,Allahu akbar!
TERRORIST,Allahu akbar!
BELIEVERS,Allahu akbar!
TERRORIST,Allahu akbar!
BELIEVERS,Allahu akbar!
TERRORIST,Allahu akbar!
BELIEVERS,Allahu akbar!
TERRORIST,Allahu akbar!
BELIEVERS,Allahu akbar! Fade to black.
SCULLY,Can you hear my voice? SCULLY looks at the electroencephalogram monitor beside the bed. There are no obvious changes.
SCULLY,"Oh, we don't even know his name. SCULLY seems somewhat dejected. Suddenly MILLER starts talking in Arabic."
MILLER,"Can you hear me, young man? SCULLY seems surprised. MILLER turns to her."
MILLER,"I was with the Bureau in Iraq. SCULLY turns back to the EEG monitor. She notices immediate, but subtle, changes in the traces."
SCULLY,"Keep talking, Agent Miller."
MILLER,Can you hear my voice? The traces show even more activity. SHIRAZ's face remains motionless.
MILLER,The needles are moving.
SCULLY,"It could be a false positive - aberrant neurological activity, not a response in and of itself."
MILLER,How do we know the difference?
SCULLY,"Well, we need to set up a baseline, set up questions that serve as yes/no answers. It will be painstaking and difficult."
MILLER,I'm just certain he hears us. The screen blurs. We hear a familiar voice.
SKINNER,"Agent Mulder? Agent Mulder? We see MULDER lying in a hospital bed, gowned up. SKINNER stands to the side, holding the bed controls. MULDER sighs a little as SKINNER raises the head-end of the bed slightly. MULDER's still coming down from his experience, his words are noticeably slow and slurred."
MULDER,Where's your hat?
SKINNER,"Ah, rodeo's over, cowboy. We're hanging up your spurs for good."
MULDER,What are you talking about?
SKINNER,What am I talking about?
MULDER,"Dude, I was on fire!"
SKINNER,"Dude, you were an embarrassment. To me, and to the Federal Bureau of Investigation. EINSTEIN enters the ward and appears from behind the privacy curtain for MULDER's bed. MULDER looks to her for support. Silly boy."
MULDER,"A-Agent Einstein? Agent Einstein, tell him."
EINSTEIN,"Tell him what, Agent Mulder?"
MULDER,"What were were doing was under your medical supervision, all on the up and up."
EINSTEIN,It was until it wasn't.
MULDER,"Well, it's not like it was volitional."
SKINNER,"What was it, Agent Mulder?"
MULDER,It was the Magic Mushrooms. Maybe I took too much.
EINSTEIN,Maybe you didn't take enough.
EINSTEIN,What's that supposed to mean?
SKINNER,Agent Einstein informed me that you requested that she administer an illicit substance to you in your rather reckless attempt to talk to an alleged mass murderer.
MULDER,Yeah - and administer them she did.
EINSTEIN,"These are what I gave you, Agent Mulder. EINSTEIN holds out her right hand, palm upwards. We see two cream-coloured capsules."
MULDER,"Yeah, that stuff. That's potent."
EINSTEIN,This stuff is purchasable at any corner drugstore.
MULDER,Maybe in Texas it is.
EINSTEIN,"These are niacin capsules, Agent Mulder. What I gave you is a placebo."
MULDER,No way. No way. That's impossible. I... I was under the influence of something... powerful.
EINSTEIN,Yes. The power of suggestion. MULDER turns to SKINNER and gently pokes him in the midriff with an outstretched finger.
MULDER,"No, you were there. No response from SKINNER, who shows a mixture of concern and resignation."
MULDER,And The Lone Gunman. The Badonkadonk.
SKINNER,"Yeah, I was in Washington, Agent Mulder."
MULDER,This is what I'm saying!
SKINNER,I think he's still tripping.
EINSTEIN,"Well, the placebo effect has been known to have lasting psychological outcome."
MULDER,I talked to the terrorist.
EINSTEIN,You talked to the terrorist?
MULDER,Yes. He whispered in my ear.
EINSTEIN,"Well, what did he say, Agent Mulder? MULDER's eyes look up to the ceiling."
MULDER,"I can't tell you what he said. EINSTEIN has a ""what a shock that is"" look on her face."
MULDER,"It was in Arabic. SKINNER smiles to himself, before leaning down to MULDER and patting him gently on his shoulder."
SKINNER,"Well, I'm gonna get you a wheelchair so we can get you home, partner. SKINNER heads off to find a wheelchair, leaving EINSTEIN and MULDER alone. He reaches out his hand, poking her gently to get her attention."
